TIME,P,TAVG,THA,THB,TCA,TCB,WRCA,WRCB,PSGA,PSGB,WFWA,WFWB,WSTA,WSTB,VOL,LVPZ,VOID,WLR,WUP,HUP,HLW,WHPI,WECS,QMWT,LSGA,LSGB,QMGA,QMGB,NSGA,NSGB,TBLD,WTRA,WTRB,TSAT,QRHR,LVCR,SCMA,SCMB,FRCL,PRB,PRBA,TRB,LWRB,DNBR,QFCL,WBK,WSPY,WCSP,HTR,MH2,CNH2,RHBR,RHMT,RHFL,RHRD,RH,PWNT,PWR,TFSB,TFPK,TF,TPCT,WCFT,WLPI,WCHG,RM1,RM2,RM3,RM4,RC87,RC131,STRB,STSG,STTB,RBLK,SGLK,DTHY,DWB,WRLA,WRLB,WLD,MBK,EBK,TKLV,FRZR,TDBR,MDBR,MCRT,MGAS,TCRT,TSLP,PPM,RRCA,RRCB,RRCO,WFLB
100,155.4835358,309.9786987,327.8122253,327.8113708,292.1451111,292.1459961,16515.81836,33031.63672,66.97805786,66.97809601,1917.056519,3834.029297,1915.844604,3831.586426,289.6289063,61.95946884,-3.49E-06,0,0,2582.724609,1501.317017,0,23.83487129,2904.628662,11.83370399,11.8337841,971.1515503,1942.208008,49.97733688,49.97769928,100,0,0,344.9838257,0,7.92489624,17.17159653,17.17247963,0,1.034000039,0.906761765,50,0.099999994,2.292375803,0,0,0,0,4.743132169,0,0,0,0.002474915,-0.002475143,0,-2.29E-07,100.3326416,100.3325958,790.4715576,790.4715576,790.4715576,550.2251587,0,0,23.83487129,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.14E-05,134.0283508,0,0.000168947,1.69E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
110,147.0778656,309.9076538,327.7658997,327.7650452,292.1037292,292.1046143,16515.81836,33031.63672,66.94844055,66.9484787,1921.105225,3842.123291,1915.843994,3831.58667,284.859436,49.9608345,-1.19E-06,3095.063232,0,2600.894043,1501.177246,0,68.69999695,2931.351807,11.83402729,11.83410835,969.8108521,1939.527466,49.79619217,49.79661179,100,0,0,341.0741882,0,7.92489624,13.30830956,13.30915737,0,1.091284156,0.924212039,56.21894073,0.103709511,2.271477699,0,3095.063232,0,0,1176.999953,0,0,0,0.010726902,-0.009328278,0,0.001398624,101.5563507,101.2556763,795.0449219,794.8227539,794.8227539,552.3660278,0,0,68.69999695,0.034904473,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.685035586,0,3.14E-05,147.4736328,0,0.000447111,0.000205226,0,0,23.70000076,4392.5,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
120,122.774147,309.4265442,326.0592957,326.058136,293.591217,293.5924683,16515.81836,33031.63672,71.74834442,71.74820709,1704.178833,3408.239746,516.7963867,1033.297363,272.3105469,18.3913002,-9.84E-07,2724.981689,0,2671.299561,1472.060791,0,68.69999695,1373.400757,11.99902821,11.99911404,715.1318359,1430.081421,37.05997467,37.05913925,0,0,0,327.2633972,0,7.92489624,1.204087973,1.20527482,0,1.214958668,0.951658249,66.00009155,0.110825792,4.848184586,0,2724.981689,0,0,1176.999953,0,0,0,0.06625247,0.396911949,-5.124999523,-4.661835194,5.609437466,47.44044113,505.9858398,536.8924561,536.8924561,423.2963257,0,0,68.69999695,0.098487906,0.022632265,0.077682219,0.044,6432.352051,121330.5547,1.933074951,0,9.94E-05,161.5335693,0,0.000975757,0.000559411,0,0,23.70000076,12708.8877,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
130,101.6626205,300.7177734,313.975708,313.9933777,294.9255981,294.9078979,16646.66016,33141.31641,74.55033875,74.54971313,1617.728394,3235.137207,693.3515015,1385.23584,260.1034851,0,1.847746611,1651.223267,0,2717.09375,1414.533936,98.98791504,98.98791504,205.595047,12.34673119,12.34691429,349.605835,698.5408936,43.36443329,43.35856247,0,0,0,312.5914917,0,7.92489624,-1.384209514,-1.401875854,0,1.296785712,0.966211915,71.18663788,0.115645595,32.47805786,0,1651.223267,0,0,0,0,0,-0.023416443,0.973897576,0.714705527,-6.149999619,-4.484812737,4.808422565,7.101728916,333.4243164,335.1187134,335.1187134,318.1136169,0,0,0,0.142066211,0.024766477,0.29572165,0.044,9019.105469,144842.0469,0.002186032,0,0.000427714,163.7126312,0,0.000141706,1.15E-05,0,0,0,18408.86523,0,1599.772949,0,50,0,0,0,50,50,202.3416443,1.007922292,1.003320456,1.004854441,0
140,90.10001373,294.4628906,303.1673889,303.1670227,291.8631287,291.8635254,16429.58594,33032.94922,71.52220917,71.52263641,1508.651978,3017.181885,528.5001221,1057.949219,249.9735107,0,5.670370102,1566.491455,0,2736.990967,1363.476685,105.0281982,105.0281982,142.4602203,12.58498287,12.58522606,225.1907501,450.7336731,44.49894714,44.50537872,0,0,0,303.8092651,0,7.92489624,0.641886413,0.642259419,0,1.348002315,0.974242985,74.04876709,0.125101626,46.69905472,0,1566.491455,0,1700,0,0,0,-0.053082582,1.517235994,0.741221249,-6.149999619,-3.944624901,4.339253426,4.92090559,317.8536072,318.2833557,318.2833557,306.5002441,0,0,0,0.175423577,0.026941676,0.391189218,0.044,11603.25195,168350.6094,0.002935383,0,0.000567631,163.7250519,0,0.000142829,1.18E-05,0,0,0,22872.91602,0,1595.236328,0,50,0,0,0,50,50,205.3082581,0.994778812,1.000039697,0.998286128,0
150,83.9829483,290.118927,296.3171082,296.2940674,288.3616638,288.3847046,16172.62109,32652.96094,68.83400726,68.83448792,1385.847168,2771.720947,350.7364197,702.4403076,243.3495636,0,8.169974327,1517.019409,0,2746.95459,1334.015137,108.3640442,108.3640442,128.2852478,12.84160423,12.84166527,163.3448792,327.1644592,45.64889908,45.65514374,0,0,0,298.5753479,0,7.92489624,2.25823307,2.28129077,0,1.383966565,0.979882419,76.05854797,0.134497717,51.55414963,0,1517.019409,0,1700,0,0,0,-0.084943995,1.84452796,0.751858413,-6.149999619,-3.638557434,4.06574297,4.431269169,311.2595825,311.5296631,311.5296631,300.9190063,0,0,0,0.204238772,0.02915781,0.377396911,0.044,14184.79297,191856.2969,0.003591582,0,0.000543154,163.7385559,0,0.000143268,1.19E-05,0,0,0,26917.91211,0,1590.212769,0,50,0,0,0,50,50,208.4944,0.979220033,0.988536,0.985430717,0
160,79.18585968,287.04245,291.5016785,291.4711304,285.7128906,285.7434082,15840.07031,32171.76563,67.0668335,67.06739807,1253.65918,2507.47583,200.9946747,403.3179932,236.1580353,0,10.88375759,1476.703369,0,2753.951416,1311.264282,110.6067505,110.6067505,119.5752335,13.12020111,13.12009239,116.0955505,232.7218628,47.34782028,47.35313034,0,0,0,294.4353638,0,7.92489624,2.933688879,2.964240313,0,1.42603004,0.98545599,78.04501343,0.144169733,54.94031143,0,1476.703369,0,1700,0,0,0,-0.118813775,2.052679539,0.759071052,-6.149999619,-3.45706296,3.876041174,4.130405426,306.7622681,306.9501953,306.9501953,297.0599365,0,0,0,0.232573599,0.031414852,0.292870432,0.044,16763.73438,215359.0938,0.004301174,0,0.000414736,163.7529602,0,0.000143234,1.21E-05,0,0,0,31074.20313,0,1585.183105,0,50,0,0,0,50,50,211.8813782,0.959084749,0.973968267,0.969007134,0
170,74.51875305,285.0297852,288.1604614,288.1299133,283.9532776,283.9837952,15514.31445,31594.60352,66.10575867,66.10619354,1115.36145,2230.97168,81.5579071,164.1859131,230.0912628,0,13.17310619,1436.072388,0,2760.377197,1288.46582,112.7024841,112.7024841,112.9927063,13.40994263,13.40968132,80.65113831,161.7094116,49.49375534,49.49645233,0,0,0,290.2284241,0,7.92489624,2.067939043,2.098490477,0,1.46613884,0.990409553,79.8103714,0.153834686,57.76520157,0,1436.072388,0,1700,0,0,0,-0.153095856,2.17861104,0.764032781,-6.149999619,-3.360451937,3.732386827,3.90302968,303.6737671,303.7998657,303.7998657,294.4540405,0,0,0,0.258970171,0.033712763,0.164366633,0.044,19340.08594,238858.9531,0.005008239,0,0.000223811,163.7683258,0,0.000142805,1.23E-05,0,0,0,35116.60156,0,1580.147583,0,50,0,0,0,50,50,215.3095856,0.939360917,0.956495225,0.950783849,0
180,83.04515076,284.1458435,285.953125,285.9290771,283.0307312,283.0547791,15195.58691,30993.30859,65.79827881,65.79858398,974.8877563,1950.046387,-0.231108442,0.231108442,224.8937531,0,15.13443279,1507.969604,0,2748.702393,1328.509033,108.9742584,108.9742584,107.840538,13.69995403,13.69960117,53.98398972,108.235199,51.99710846,51.99647522,0,0,0,297.5621948,0,7.92489624,11.60905647,11.63313198,0,1.49787879,0.99432987,81.20735931,0.163241416,59.80677414,0,1507.969604,0,1700,0,0,0,-0.18810837,2.231414557,0.767270625,-6.149999619,-3.339422703,3.617624044,3.725061893,301.6646729,301.7440491,301.7440491,292.8243713,0,0,0,0.282519072,0.036051512,0.032999996,0.044,21913.8418,262355.9688,0.00563974,0,3.14E-05,163.7845306,0,0.000142262,1.24E-05,0,0,0,38867.88281,0,1575.106934,0,50,0,0,0,50,50,218.8108368,0.920062542,0.938291669,0.932215333,0
190,79.65932465,283.4402161,284.9022522,284.8805542,282.649292,282.6709595,14807.99902,30349.02734,65.69039154,65.69067383,845.6119995,1691.546143,-0.203911677,0.203911677,218.9462128,0,17.3787899,1480.14209,0,2753.390625,1313.161255,110.4293747,110.4293747,104.0828476,13.96489716,13.96448421,43.50582504,87.27253723,55.11423874,55.1126709,0,0,0,294.7758484,0,7.474670887,9.873589516,9.895291328,0,1.53304565,0.998673141,82.75520325,0.172940373,61.46699905,0,1480.14209,0,1700,0,0,0,-0.224719241,2.27248621,0.768938005,-6.149999619,-3.333294868,3.522570848,3.595262527,300.6317139,300.6854248,300.6854248,292.0765686,0,0,0,0.307634413,0.038431045,0.032999996,0.044,24485.00586,285850.0625,0.006348301,0,3.14E-05,163.8014984,0,0.000142798,1.26E-05,0,0,0,43016.45313,0,1570.076904,0,50,0,0,0,50,50,222.4719238,0.896594882,0.918786645,0.91138941,0
200,77.53730774,282.1007996,283.5412292,283.5270996,282.0627136,282.0769348,14584.13281,29716.48242,65.36270142,65.3628006,723.5171509,1447.352783,-0.078185387,0.078185387,215.2119751,0,18.78793526,412.8819275,0,2756.506836,2756.506836,111.4257431,111.4257431,103.4508972,14.18893051,14.18849087,20.50486755,41.08885193,57.75120544,57.74740219,0,0,0,292.8337097,0,7.101243019,9.292467117,9.306607246,0,1.555127025,1.00140059,83.7270813,0.18039225,61.43556595,0,412.8819275,0,1700,0,0,0,-0.261599571,2.347836971,0.771134257,-6.149999619,-3.292628288,3.441763401,3.573433399,299.1936951,299.2909851,299.2909851,290.7344055,0,0,0,0.319590896,0.040851332,0.032999996,0.044,27053.59375,309341.25,0.006735157,0,3.14E-05,163.8191681,0,0.000143056,1.27E-05,0,0,0,45018.74219,0,1565.042969,0,50,0,0,0,50,50,226.1599579,0.883040249,0.899636984,0.894104779,0
210,76.44495392,280.8256531,281.7363586,281.7322083,281.1510925,281.1552429,14511.31055,29294.00391,64.82892609,64.82893372,0,0,-0.012589383,0.012589383,213.4308624,0,19.46005249,406.7191162,0,2758.022705,2758.022705,111.9203033,111.9203033,100.6430817,14.35511971,14.35470104,1.642346621,3.285443783,59.70709229,59.70246124,0,0,0,291.8245239,0,6.923129559,10.08816242,10.09229946,0,1.571661592,1.003442526,84.45484924,0.186893672,62.91346741,0,406.7191162,0,1700,0,0,0,-0.298465133,2.416437387,0.773920357,-6.149999619,-3.258107185,3.37169981,3.47644496,297.4446716,297.5220337,297.5220337,289.1976929,0,0,0,0.326064616,0.043312337,0.032999996,0.044,29619.5957,332829.5625,0.006972854,0,3.14E-05,163.8372955,0,0.000143187,1.28E-05,0,0,0,46156.4375,0,1560.007813,0,50,0,0,0,50,50,229.8465118,0.878630996,0.8868469,0.884108305,0
220,75.48665619,279.9594116,280.4123535,280.4118958,280.4074402,280.407959,14438.20898,29006.85547,64.8002243,64.8002243,0,0,0,0,211.9095459,0,20.034132,401.3364258,0,2759.32959,2759.32959,112.3522415,112.3522415,98.05480194,14.35467243,14.35425472,-3.618290186,-7.23783493,59.70205688,59.69709396,0,0,0,290.9431152,0,6.770996094,10.53073502,10.53120995,0,1.586934566,1.005328655,85.1270752,0.193385869,64.41287994,0,401.3364258,0,1700,0,0,0,-0.335319966,2.461317539,0.775971651,-6.149999619,-3.248030663,3.310007334,3.387039661,296.1627197,296.219635,296.219635,288.1093445,0,0,0,0.332329661,0.045814026,0.032999996,0.044,32183.02539,356315,0.007199944,0,3.14E-05,163.8558044,0,0.000143317,1.28E-05,0,0,0,47278.27344,0,1554.970459,0,50,0,0,0,50,50,233.5319977,0.874204874,0.878153741,0.876837492,0
230,74.55309296,279.230835,279.4755249,279.4756775,279.7256775,279.7255554,14366.10449,28791.02539,64.67107391,64.67107391,0,0,0,0,210.499176,0,20.56634521,396.1104736,0,2760.582764,2760.582764,112.7716141,112.7716141,96.1322937,14.35221386,14.35179615,-7.356144905,-14.71345329,59.67310333,59.66817856,0,0,0,290.0873108,0,6.629957199,10.61180973,10.61163998,0,1.60388875,1.007124305,85.76701355,0.199923784,65.58426666,0,396.1104736,0,1700,0,0,0,-0.372176349,2.498002052,0.777629316,-6.149999619,-3.2465446,3.255007744,3.320631981,295.1186523,295.1671448,295.1671448,287.2158813,0,0,0,0.338402629,0.048356347,0.032999996,0.044,34743.875,379797.5938,0.007432682,0,3.14E-05,163.8747101,0,0.000143457,1.29E-05,0,0,0,48385.46094,0,1549.932861,0,50,0,0,0,50,50,237.2176361,0.869839072,0.871619701,0.871026218,0
240,73.64035034,278.6013184,278.715271,278.7154236,279.1226807,279.1225281,14293.87891,28647.34375,64.47087097,64.47087097,0,0,0,0,209.1714478,0,21.06738091,390.9937439,0,2761.794922,2761.794922,113.1822357,113.1822357,94.46355438,14.3483305,14.34791374,-10.0057478,-20.01311302,59.62744904,59.62248993,0,0,0,289.2494507,0,6.497181416,10.53415966,10.53402424,0,1.621044993,1.008812904,86.36875153,0.206484541,66.67092133,0,390.9937439,0,1700,0,0,0,-0.409041166,2.528921366,0.779062271,-6.149999619,-3.251057625,3.205472708,3.262989759,294.2148438,294.2573547,294.2573547,286.4440918,0,0,0,0.344289154,0.050939269,0.032999996,0.044,37302.16406,403277.3125,0.007666904,0,3.14E-05,163.894043,0,0.000143604,1.30E-05,0,0,0,49478.24609,0,1544.893311,0,50,0,0,0,50,50,240.9041138,0.865465939,0.867269874,0.866668582,0
250,72.76112366,278.0432739,278.0666199,278.0668335,278.5819092,278.5816956,14257.77539,28513.78711,64.22058105,64.22058105,0,0,0,0,207.9081116,0,21.54410553,386.0693359,0,2762.947754,2762.947754,113.5774078,113.5774078,92.98646545,14.34344482,14.34302711,-11.87883663,-23.75761795,59.56993484,59.56502533,0,0,0,288.4430542,0,6.370847702,10.37645149,10.37624836,0,1.637036443,1.010386944,86.92962646,0.213038847,67.68634796,0,386.0693359,0,1700,0,0,0,-0.445916742,2.555732727,0.780330777,-6.149999619,-3.259853125,3.160476446,3.211967707,293.4139099,293.4519653,293.4519653,285.7609253,0,0,0,0.349999845,0.053562757,0.032999996,0.044,39857.88281,426754.125,0.007891611,0,3.14E-05,163.9137421,0,0.000143749,1.30E-05,0,0,0,50557.12891,0,1539.853394,0,50,0,0,0,50,50,244.5916748,0.863279998,0.863226593,0.863244414,0
260,71.87909698,277.5358582,277.4946289,277.4949341,278.0875244,278.0871582,14186.91113,28390.18359,63.93515778,63.93515396,0,0,0.003150224,-0.003150224,206.7011414,0,21.99957085,381.1386108,0,2764.087891,2764.087891,113.9730911,113.9730911,91.66639709,14.33785343,14.33743572,-13.20208073,-26.40475655,59.50418472,59.49922562,0,0,0,287.6264954,0,6.25014782,10.13187027,10.13156509,0,1.651970625,1.011856794,87.45343018,0.219587058,68.60488892,0,381.1386108,0,1700,0,0,0,-0.482805163,2.579629421,0.781477153,-6.149999619,-3.271698475,3.119306087,3.166369438,292.6893311,292.7240601,292.7240601,285.1422119,0,0,0,0.355544031,0.056226779,0.032999996,0.044,42411.04297,450228.0625,0.008107479,0,3.14E-05,163.9338074,0,0.000143895,1.31E-05,0,0,0,51622.37109,0,1534.811768,0,50,0,0,0,50,50,248.2805176,0.858989298,0.859484613,0.859319568,0
270,70.99255371,277.0635376,276.9727173,276.9731445,277.6275024,277.6271362,14116.17773,28258.01367,63.62496948,63.62496567,0,0,0.003150224,-0.003150224,205.5434418,0,22.43643951,376.1742249,0,2765.221436,2765.221436,114.3714752,114.3714752,91.4302597,14.33176422,14.33134747,-14.14496803,-28.29094315,59.43254852,59.42760086,0,0,0,286.7613525,0,6.134376049,9.788615227,9.788208008,0,1.661776304,1.012822032,87.79735565,0.226055473,68.72433472,0,376.1742249,0,1700,0,0,0,-0.519710958,2.601460934,0.782285571,-6.149999619,-3.285964251,3.130367756,3.1582129,292.1902161,292.2108154,292.2108154,284.6484375,0,0,0,0.36092636,0.058931276,0.032999996,0.044,44961.65234,473699.2188,0.008296212,0,3.14E-05,163.9542236,0,0.000144029,1.32E-05,0,0,0,52673.83203,0,1529.769653,0,50,0,0,0,50,50,251.9710999,0.854706526,0.855483294,0.855224371,0
280,70.32794952,276.6009216,276.4797363,276.4801636,277.1846313,277.1842957,14045.09375,28135.55664,63.29682159,63.29682159,0,0,0.003150224,-0.003150224,204.3882751,0,22.87234879,372.3382874,0,2766.087646,2766.087646,114.6792984,114.6792984,90.40720367,14.32531548,14.32489777,-14.89767742,-29.79724693,59.35668182,59.35172272,0,0,0,286.092804,0,6.018858433,9.613071442,9.612630844,0,1.66508925,1.013148069,87.91355133,0.232407153,69.43561554,0,372.3382874,0,1700,0,0,0,-0.560316741,2.622461796,0.783280373,-6.149999619,-3.30457449,3.07481432,3.122874022,291.5436401,291.5791626,291.5791626,284.1014404,0,0,0,0.366138369,0.061676245,0.032999996,0.044,47509.70313,497167.5,0.008432413,0,3.14E-05,163.9746704,0,0.000144135,1.32E-05,0,0,0,53711.92188,0,1524.725708,0,50,0,0,0,50,50,256.0316772,0.850402534,0.851776063,0.85131824,0
